url,title,description,author,published_date,category,content_length,views,comments,scraped_at
https://vnexpress.net/xu-huong-lap-trinh-vibe-coding-tai-viet-nam-4948389.html,Xu hướng lập trình Vibe Coding tại Việt Nam,"Nhiều người dùng, gồm cả lập trình viên nhiều năm kinh nghiệm, bắt đầu sử dụng AI trong lập trình (Vibe Coding) dù chưa mạo hiểm tin tưởng hoàn toàn.",VnExpress,"Thứ hai, 13/10/2025, 05:00 (GMT+7)",Chuyển đổi số,8460,N/A,N/A,2025-10-13 07:55:37
https://vnexpress.net/cobot-co-may-giup-day-nhanh-qua-trinh-hoi-sinh-san-xuat-my-4949653.html,Cobot - cỗ máy giúp đẩy nhanh quá trình 'hồi sinh' sản xuất Mỹ,"Những mẫu robot cỡ nhỏ làm việc cùng con người, gọi là cobot, được đánh giá đang giúp đẩy nhanh quá trình phục hồi ngành sản xuất của Mỹ.",VnExpress,"Chủ nhật, 12/10/2025, 05:00 (GMT+7)",Chuyển đổi số,6149,N/A,N/A,2025-10-13 07:55:38
https://vnexpress.net/phong-phim-tai-gia-12-ty-dong-tai-p-h-e-show-2025-4950201.html,Phòng phim tại gia 12 tỷ đồng tại P.H.E Show 2025,"Triển lãm Thiết bị giải trí cá nhân và gia đình P.H.E. Show quy tụ nhiều phòng phim tiền tỷ, nổi bật là hệ thống phối ghép 13 tỷ đồng.",VnExpress,"Chủ nhật, 12/10/2025, 11:15 (GMT+7)",Chuyển đổi số,3499,N/A,N/A,2025-10-13 07:55:39
https://vnexpress.net/honor-magic-v5-smartphone-gap-sieu-mong-gia-45-trieu-dong-4950268.html,Honor Magic V5 - smartphone gập siêu mỏng giá 45 triệu đồng,"Magic V5, smartphone gập mỏng nhất thế giới của Honor, được nâng cấp về độ bền, dung lượng pin và bán tại Việt Nam với giá 45 triệu đồng.",VnExpress,"Chủ nhật, 12/10/2025, 08:53 (GMT+7)",Thiết bị,5552,N/A,N/A,2025-10-13 07:55:41
https://vnexpress.net/du-an-truyen-anh-sang-mat-troi-vao-buoi-toi-gay-lo-ngai-4949865.html,Dự án truyền ánh sáng Mặt Trời vào buổi tối gây lo ngại,MỹReflect Orbital dự định phóng hàng nghìn vệ tinh lên quỹ đạo Trái Đất để phản chiếu ánh sáng Mặt Trời khiến các nhà thiên văn học lo ảnh hưởng hệ sinh thái.,VnExpress,"Thứ bảy, 11/10/2025, 16:00 (GMT+7)",Vũ trụ,3418,N/A,N/A,2025-10-13 07:55:42
https://vnexpress.net/nhung-mau-may-bay-dien-tien-tien-nhat-the-gioi-4949428.html,Những mẫu máy bay điện tiên tiến nhất thế giới,"Thế hệ máy bay điện mới hiện thực hóa mục tiêu không thải khí, yên tĩnh và hiệu quả thông qua ứng dụng công nghệ pin tiên tiến, vật liệu nhẹ và hệ thống động cơ lai.",VnExpress,"Thứ bảy, 11/10/2025, 14:00 (GMT+7)",N/A,2789,N/A,N/A,2025-10-13 07:55:43
https://vnexpress.net/6-may-loc-khong-khi-co-man-loc-an-tuong-4949487.html#vn_source=Home&vn_campaign=Box-TechAwards2025&vn_medium=Item-1&vn_term=Desktop,6 máy lọc không khí có màn lọc ấn tượng,"Số bình chọn thứ sáu của Sản phẩm tôi yêu 2025 là cuộc đua của 6 mẫu máy lọc không khí, giá từ 1,8 triệu đến 18 triệu đồng.",VnExpress,"Thứ sáu, 10/10/2025, 13:01 (GMT+7)",Tech Awards 2025,3454,N/A,N/A,2025-10-13 07:55:45
https://vnexpress.net/cay-la-kim-co-the-he-lo-mo-vang-duoi-long-dat-4949746.html,Cây lá kim có thể hé lộ mỏ vàng dưới lòng đất,"Phần LanCác nhà nghiên cứu phát hiện một số vi khuẩn sống trên cây vân sâm có thể tách riêng và tích tụ hạt nano vàng thông qua hấp thụ từ rễ, cung cấp phương pháp mới để thăm dò vàng.",VnExpress,"Thứ bảy, 11/10/2025, 10:31 (GMT+7)",N/A,2535,N/A,N/A,2025-10-13 07:55:46
https://vnexpress.net/danh-gia-iphone-air-muon-yeu-phai-danh-doi-4949637.html,Đánh giá iPhone Air - muốn 'yêu' phải đánh đổi,"iPhone Air tạo thiện cảm ngay lần đầu cầm máy, cảm giác thoải mái khi sử dụng, nhưng chỉ có một camera và không phù hợp với người có nhu cầu dùng nhiều trong ngày.",VnExpress,"Thứ bảy, 11/10/2025, 05:00 (GMT+7)",Thiết bị,305,N/A,N/A,2025-10-13 07:55:47
https://vnexpress.net/my-thu-nghiem-cong-nghe-khai-thac-lithium-tang-gap-doi-san-luong-4948843.html,Mỹ thử nghiệm công nghệ khai thác lithium tăng gấp đôi sản lượng,"Công ty Lilac Solutions đang tiên phong thử nghiệm phương pháp chiết xuất lithium mới từ nước mặn nồng độ thấp, giúp tăng gấp đôi sản lượng của Mỹ trong vòng hai năm.",VnExpress,"Thứ bảy, 11/10/2025, 00:00 (GMT+7)",N/A,3165,N/A,N/A,2025-10-13 07:55:49
